row_id,Grader,Grounded,Correct,Scientific Rigor
B1-Q001,Grader B,5,4,4
B1-Q003,Grader B,5,3,4
B1-Q004,Grader B,5,4,5
B1-Q005,Grader B,5,4,4
B1-Q006,Grader B,5,4,4
B1-Q007,Grader B,5,4,4
B1-Q008,Grader B,5,4,5
B1-Q009,Grader B,5,4,4
B1-Q010,Grader B,5,4,4
B1-Q011,Grader B,5,4,4
B1-Q012,Grader B,5,4,4
B1-Q013,Grader B,5,4,4
B1-Q014,Grader B,5,4,5
B1-Q015,Grader B,5,4,5
B1-Q016,Grader B,5,5,5
B1-Q017,Grader B,5,4,4
B1-Q018,Grader B,5,4,4
B1-Q019,Grader B,5,5,5
B1-Q020,Grader B,5,4,4
B1-Q021,Grader B,5,4,4
B2-Q001,Grader B,5,4,5
B2-Q002,Grader B,5,4,4
B2-Q003,Grader B,5,4,4
B2-Q004,Grader B,5,4,5
B2-Q005,Grader B,5,4,5
B2-Q006,Grader B,5,4,5
B2-Q007,Grader B,5,4,4
B2-Q008,Grader B,5,4,4
B2-Q009,Grader B,5,4,4
B2-Q010,Grader B,5,4,4
B2-Q011,Grader B,5,4,5
B2-Q013,Grader B,5,4,4
B2-Q014,Grader B,5,4,4
B2-Q015,Grader B,5,4,4
B2-Q016,Grader B,5,4,5
B2-Q018,Grader B,5,4,4
B2-Q019,Grader B,5,4,4
B2-Q020,Grader B,5,4,4
B2-Q021,Grader B,5,4,4
B2-Q022,Grader B,5,4,4
B2-Q023,Grader B,5,4,5
B2-Q024,Grader B,5,4,4
B2-Q026,Grader B,5,4,4
B2-Q027,Grader B,5,4,4
R-Q001,Grader B,3,3,3
R-Q002,Grader B,5,4,4
R-Q003,Grader B,3,3,3
R-Q004,Grader B,5,4,4
R-Q005,Grader B,3,3,3
R-Q006,Grader B,5,4,5
