Fixture ID,Claim ID,Answer ID,Eval ID,Gold Label,Evidence Parcel Count
CVD-SYN-ACT-FIX-0001,V3-01-001,SYN-A001-Q001,Q001,supported,1
CVD-SYN-ACT-FIX-0002,V3-01-002,SYN-A001-Q001,Q001,unsupported,1
CVD-SYN-ACT-FIX-0003,V3-01-003,SYN-A001-Q001,Q001,supported,1
CVD-SYN-ACT-FIX-0004,V3-01-004,SYN-A001-Q001,Q001,supported,1
CVD-SYN-ACT-FIX-0005,V3-01-005,SYN-A001-Q001,Q001,supported,1
CVD-SYN-ACT-FIX-0006,V3-01-006,SYN-A001-Q001,Q001,supported,1
CVD-SYN-ACT-FIX-0007,V3-01-007,SYN-A001-Q001,Q001,supported,1
CVD-SYN-ACT-FIX-0008,V3-01-008,SYN-A001-Q001,Q001,supported,1
CVD-SYN-ACT-FIX-0009,V3-01-009,SYN-A001-Q001,Q001,supported,1
CVD-SYN-ACT-FIX-0010,V3-01-010,SYN-A001-Q001,Q001,supported,1
CVD-SYN-ACT-FIX-0011,V3-01-011,SYN-A001-Q001,Q001,supported,1
CVD-SYN-ACT-FIX-0012,V3-01-012,SYN-A001-Q001,Q001,supported,1
CVD-SYN-ACT-FIX-0013,V3-01-013,SYN-A001-Q001,Q001,supported,1
CVD-SYN-ACT-FIX-0014,V3-01-014,SYN-A001-Q001,Q001,supported,1
CVD-SYN-ACT-FIX-0015,V3-01-015,SYN-A001-Q001,Q001,supported,1
CVD-SYN-ACT-FIX-0016,V3-01-016,SYN-A001-Q001,Q001,supported,1
CVD-SYN-ACT-FIX-0017,V3-03-001,SYN-A003-Q003,Q003,supported,47
CVD-SYN-ACT-FIX-0018,V3-03-002,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0019,V3-03-003,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0020,V3-03-004,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0021,V3-03-005,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0022,V3-03-006,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0023,V3-03-007,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0024,V3-03-008,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0025,V3-03-009,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0026,V3-03-010,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0027,V3-03-011,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0028,V3-03-012,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0029,V3-03-013,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0030,V3-03-014,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0031,V3-03-015,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0032,V3-03-016,SYN-A003-Q003,Q003,supported,1
CVD-SYN-ACT-FIX-0033,V3-03-017,SYN-A003-Q003,Q003,supported,1
