row_id,Grader,Grounded,Correct,Scientific Rigor
B1-Q001,Grader A,5,5,5
B1-Q003,Grader A,5,2,2
B1-Q004,Grader A,5,4,4
B1-Q005,Grader A,3,3,2
B1-Q006,Grader A,5,5,5
B1-Q007,Grader A,4,4,4
B1-Q008,Grader A,5,5,5
B1-Q009,Grader A,5,5,5
B1-Q010,Grader A,5,5,5
B1-Q011,Grader A,5,5,5
B1-Q012,Grader A,5,5,5
B1-Q013,Grader A,5,4,4
B1-Q014,Grader A,5,5,5
B1-Q015,Grader A,5,5,5
B1-Q016,Grader A,5,5,5
B1-Q017,Grader A,3,3,3
B1-Q018,Grader A,5,5,5
B1-Q019,Grader A,5,4,4
B1-Q020,Grader A,5,5,5
B1-Q021,Grader A,5,4,5
B2-Q001,Grader A,2,3,2
B2-Q002,Grader A,5,5,5
B2-Q003,Grader A,5,5,5
B2-Q004,Grader A,5,5,5
B2-Q005,Grader A,5,5,5
B2-Q006,Grader A,5,4,4
B2-Q007,Grader A,5,5,5
B2-Q008,Grader A,3,2,2
B2-Q009,Grader A,5,5,5
B2-Q010,Grader A,5,3,4
B2-Q011,Grader A,5,5,5
B2-Q013,Grader A,5,5,5
B2-Q014,Grader A,4,3,4
B2-Q015,Grader A,5,4,5
B2-Q016,Grader A,4,4,4
B2-Q018,Grader A,5,5,5
B2-Q019,Grader A,5,5,5
B2-Q020,Grader A,5,5,5
B2-Q021,Grader A,5,4,4
B2-Q022,Grader A,5,5,5
B2-Q023,Grader A,5,5,5
B2-Q024,Grader A,5,5,5
B2-Q026,Grader A,5,4,5
B2-Q027,Grader A,5,4,4
R-Q001,Grader A,5,3,3
R-Q002,Grader A,4,4,4
R-Q003,Grader A,1,1,1
R-Q004,Grader A,5,5,5
R-Q005,Grader A,4,3,2
R-Q006,Grader A,5,5,5
